Close,MA_5,MA_10,Daily_Return,Tomorrow,Target
1552.0999755859375,1550.4199951171875,1552.1199951171875,0.0062888686581550335,1549.0,0
1549.0,1549.8800048828125,1554.5699951171875,-0.001997278290509108,1558.800048828125,1
1558.800048828125,1550.1400146484375,1555.5300048828126,0.006326693885167822,1556.4000244140625,0
1556.4000244140625,1551.7400146484374,1554.5500122070312,-0.001539661495306488,1555.300048828125,0
1555.300048828125,1554.32001953125,1552.9000122070313,-0.000706743490544226,1564.5999755859375,1
1564.5999755859375,1556.82001953125,1553.6200073242187,0.005979506504111276,1571.0999755859375,1
1571.0999755859375,1561.2400146484374,1555.560009765625,0.004154416529097649,1576.800048828125,1
1576.800048828125,1564.8400146484375,1557.4900146484374,0.0036280779904294125,1569.199951171875,0
1569.199951171875,1567.4,1559.5700073242188,-0.004819950165462217,1569.800048828125,1
1569.800048828125,1570.3,1562.310009765625,0.000382422683483874,1583.5,1
1583.5,1574.0800048828125,1565.4500122070312,0.008727195022131706,1582.9000244140625,0
1582.9000244140625,1576.4400146484375,1568.8400146484375,-0.00037889206563779254,1577.199951171875,0
1577.199951171875,1576.5199951171876,1570.6800048828125,-0.003601031748229011,1550.4000244140625,0
1550.4000244140625,1572.760009765625,1570.0800048828125,-0.01699209205395924,1557.800048828125,1
1557.800048828125,1570.360009765625,1570.3300048828125,0.004772977488090024,1565.0999755859375,1
1565.0999755859375,1566.6800048828125,1570.3800048828125,0.004686048612788207,1568.5999755859375,1
1568.5999755859375,1563.8199951171875,1570.1300048828125,0.0022362788669072486,1574.699951171875,1
1574.699951171875,1563.3199951171875,1569.9199951171875,0.003888802550604975,1565.5999755859375,0
1565.5999755859375,1566.3599853515625,1569.5599975585938,-0.005778863191787997,1567.4000244140625,1
1567.4000244140625,1568.27998046875,1569.3199951171875,0.001149750163640162,1575.0999755859375,1
1575.0999755859375,1570.27998046875,1568.4799926757812,0.004912562876061788,1582.699951171875,1
1582.699951171875,1573.0999755859375,1568.4599853515624,0.004825075045227001,1600.0,1
1600.0,1578.1599853515625,1570.739990234375,0.0109307192530812,1607.5,1
1607.5,1586.539990234375,1576.4499877929688,0.004687499999999956,1616.5999755859375,1
1616.5999755859375,1596.37998046875,1582.32998046875,0.0056609490425738596,1644.5999755859375,1
1644.5999755859375,1610.27998046875,1590.27998046875,0.017320302129691267,1672.4000244140625,1
1672.4000244140625,1628.2199951171874,1600.6599853515625,0.01690383633759951,1646.9000244140625,0
1646.9000244140625,1637.6,1607.8799926757813,-0.015247548210802098,1640.0,0
1640.0,1644.1,1615.3199951171875,-0.004189704482223999,1640.0,0
1640.0,1648.7800048828126,1622.5799926757813,0.0,1564.0999755859375,0
1564.0999755859375,1632.6800048828125,1621.4799926757812,-0.046280502691501524,1592.300048828125,1
1592.300048828125,1616.660009765625,1622.4400024414062,0.01802958486181372,1642.0999755859375,1
